state,state_code,year,total_consumption_mwh,prev_year_consumption,yoy_change_mwh,yoy_change_pct
Alaska,AL,2006,4924703.5970266005,4889252.542546868,35451.05447973218,0.7250812710375012
Alaska,AL,2007,5031080.260266923,4924703.5970266005,106376.66324032284,2.160062248305667
Alaska,AL,2008,4944652.020429549,5031080.260266923,-86428.23983737454,-1.717886325923751
Alaska,AL,2009,4960139.552365464,4944652.020429549,15487.531935915351,0.3132178335690026
Alaska,AL,2010,5257247.039347653,4960139.552365464,297107.4869821891,5.989901772834197
Alaska,AL,2011,5161177.137710815,5257247.039347653,-96069.90163683798,-1.8273803935368964
Alaska,AL,2012,5261495.6880403245,5161177.137710815,100318.55032950919,1.9437145374553915
Alaska,AL,2013,5307817.768823585,5261495.6880403245,46322.080783260055,0.880397581405469
Alaska,AL,2014,5448914.887362399,5307817.768823585,141097.1185388146,2.658288673126152
Alaska,AL,2015,5544761.203162348,5448914.887362399,95846.31579994876,1.7589982185672222
Alaska,AL,2016,5601401.860959764,5544761.203162348,56640.65779741574,1.0215166302403038
Alaska,AL,2017,5813352.50640185,5601401.860959764,211950.64544208627,3.7838857254524836
Alaska,AL,2018,5790599.915946966,5813352.50640185,-22752.590454883873,-0.391385012861821
Alaska,AL,2019,5859531.31263544,5790599.915946966,68931.39668847434,1.190401645581512
Alaska,AL,2020,5890042.11875882,5859531.31263544,30510.806123379618,0.5207038668363524
Alaska,AL,2021,6002529.141203852,5890042.11875882,112487.02244503237,1.9097829892723455
Alaska,AL,2022,6256069.412279357,6002529.141203852,253540.27107550483,4.223890715250329
Alaska,AL,2023,6167298.284025182,6256069.412279357,-88771.12825417519,-1.4189600914583207
Alaska,AL,2024,6492204.675217979,6167298.284025182,324906.39119279664,5.268212695896095
Arizona,AR,1990,49151427.47730235,,,
Arizona,AR,1991,48756523.24677849,49151427.47730235,-394904.23052386194,-0.8034440723135149
Arizona,AR,1992,49100776.54630184,48756523.24677849,344253.2995233536,0.7060661355628953
Arizona,AR,1993,51484475.252415076,49100776.54630184,2383698.706113234,4.854706735371925
Arizona,AR,1994,52032559.39773466,51484475.252415076,548084.145319581,1.0645619725800177
Arizona,AR,1995,52859455.784258336,52032559.39773466,826896.3865236789,1.5891902994871314
Arizona,AR,1996,53742225.06792789,52859455.784258336,882769.2836695537,1.6700309728357898
Arizona,AR,1997,53043387.91406003,53742225.06792789,-698837.1538678631,-1.300350242262137
Arizona,AR,1998,54462174.14201335,53043387.91406003,1418786.2279533222,2.6747654773711194
Arizona,AR,1999,54739631.498053625,54462174.14201335,277457.3560402766,0.5094496509022759
Arizona,AR,2000,57247316.184510455,54739631.498053625,2507684.6864568293,4.581113569509497
Arizona,AR,2001,57556639.96728678,57247316.184510455,309323.78277632594,0.5403288807100802
Arizona,AR,2002,57740062.479975276,57556639.96728678,183422.51268849522,0.3186817590337905
Arizona,AR,2003,57975185.32528855,57740062.479975276,235122.84531327337,0.40720919793742155
Arizona,AR,2004,59437545.52401736,57975185.32528855,1462360.1987288073,2.52238986477363
Arizona,AR,2005,60363639.12894655,59437545.52401736,926093.6049291939,1.5580953028334263
Arizona,AR,2006,62267218.14311093,60363639.12894655,1903579.0141643807,3.153519306710496
Arizona,AR,2007,62970640.52619802,62267218.14311093,703422.3830870911,1.1296833294694342
Arizona,AR,2008,62613478.719378576,62970640.52619802,-357161.8068194464,-0.5671878256833903
Arizona,AR,2009,62513802.621886596,62613478.719378576,-99676.0974919796,-0.15919271621803424
Arizona,AR,2010,64490248.764864065,62513802.621886596,1976446.1429774687,3.1616156114065896
Arizona,AR,2011,67035977.05299973,64490248.764864065,2545728.2881356627,3.947462348017241
Arizona,AR,2012,68169810.84615274,67035977.05299973,1133833.7931530103,1.6913810210546838
Arizona,AR,2013,68645881.77587448,68169810.84615274,476070.92972174287,0.6983603501499382
Arizona,AR,2014,70258551.8246806,68645881.77587448,1612670.048806116,2.3492597182616235
Arizona,AR,2015,70530276.4535459,70258551.8246806,271724.6288653016,0.3867495440887376
Arizona,AR,2016,71671113.78238572,70530276.4535459,1140837.3288398236,1.6175143303049797
Arizona,AR,2017,72469438.50761952,71671113.78238572,798324.7252337933,1.1138723581968304
Arizona,AR,2018,72369894.09624311,72469438.50761952,-99544.41137640178,-0.1373605390442422
Arizona,AR,2019,73702453.14094546,72369894.09624311,1332559.044702351,1.84131683670866
Arizona,AR,2020,73084033.82999793,73702453.14094546,-618419.3109475374,-0.8390756136229256
Arizona,AR,2021,77560907.9649955,73084033.82999793,4476874.1349975765,6.12565275941297
Arizona,AR,2022,77715684.46743722,77560907.9649955,154776.50244171917,0.19955478410795852
Arizona,AR,2023,79498801.54668556,77715684.46743722,1783117.079248339,2.2944108277080963
Arizona,AR,2024,81978661.49514097,79498801.54668556,2479859.948455408,3.119367713988888
Arkansas,AR,1990,30400641.283173323,,,
Arkansas,AR,1991,31057493.789517224,30400641.283173323,656852.5063439012,2.1606534553844012
Arkansas,AR,1992,31960156.410901852,31057493.789517224,902662.6213846281,2.9064245412142755
Arkansas,AR,1993,31762969.52224632,31960156.410901852,-197186.88865553215,-0.6169772329032476
Arkansas,AR,1994,32041485.658927932,31762969.52224632,278516.1366816126,0.8768579917773242
Arkansas,AR,1995,32803663.24950723,32041485.658927932,762177.5905792974,2.3787211326355173
Arkansas,AR,1996,33123086.206198182,32803663.24950723,319422.9566909522,0.9737417259206577
Arkansas,AR,1997,34667574.188266695,33123086.206198182,1544487.9820685126,4.662874626034996
Arkansas,AR,1998,35019358.86581255,34667574.188266695,351784.67754585296,1.0147369286222372
Arkansas,AR,1999,35299263.93407666,35019358.86581255,279905.0682641119,0.7992866726562707
Arkansas,AR,2000,36168113.1942617,35299263.93407666,868849.2601850405,2.4613806730011847
Arkansas,AR,2001,36612549.90600089,36168113.1942617,444436.7117391899,1.22880811988197
Arkansas,AR,2002,36255443.46588412,36612549.90600089,-357106.44011677057,-0.9753662092195329
Arkansas,AR,2003,37851664.378781825,36255443.46588412,1596220.912897706,4.402706904963742
Arkansas,AR,2004,37885015.470309615,37851664.378781825,33351.09152778983,0.08810997369638826
Arkansas,AR,2005,38865012.65956411,37885015.470309615,979997.1892544925,2.5867672933181556
Arkansas,AR,2006,39586172.87567393,38865012.65956411,721160.2161098197,1.85555121884761
Arkansas,AR,2007,39265354.29616117,39586172.87567393,-320818.57951276004,-0.8104309060649458
Arkansas,AR,2008,38334780.9511901,39265354.29616117,-930573.3449710682,-2.3699603929514192
Arkansas,AR,2009,39096182.34246012,38334780.9511901,761401.3912700191,1.9861894926163168
Arkansas,AR,2010,41239434.16908688,39096182.34246012,2143251.8266267627,5.48199772513108
Arkansas,AR,2011,42514443.36286968,41239434.16908688,1275009.193782799,3.0917232970634383
Arkansas,AR,2012,43224965.08123498,42514443.36286968,710521.7183652967,1.6712478446462182
Arkansas,AR,2013,42396327.219805054,43224965.08123498,-828637.8614299223,-1.9170353518449792
Arkansas,AR,2014,43916896.6552507,42396327.219805054,1520569.435445644,3.5865593440729078
Arkansas,AR,2015,44409300.56841399,43916896.6552507,492403.9131632894,1.1212174599418505
Arkansas,AR,2016,44722137.82746966,44409300.56841399,312837.2590556741,0.7044408604763724
Arkansas,AR,2017,45205239.61804286,44722137.82746966,483101.7905731946,1.080229644738627
Arkansas,AR,2018,46289132.11103883,45205239.61804286,1083892.49299597,2.397714296294436
Arkansas,AR,2019,48128459.73547985,46289132.11103883,1839327.6244410202,3.9735625633006535
Arkansas,AR,2020,46707338.63689025,48128459.73547985,-1421121.0985895991,-2.952766629973745
Arkansas,AR,2021,48756619.16365347,46707338.63689025,2049280.526763223,4.387491530388046
Arkansas,AR,2022,49852377.99730134,48756619.16365347,1095758.8336478695,2.247405280439796
Arkansas,AR,2023,49918770.814498305,49852377.99730134,66392.81719696522,0.13317883692641355
Arkansas,AR,2024,51906856.458360896,49918770.814498305,1988085.6438625902,3.982641422102434
California,CA,1990,175931105.25000358,,,
California,CA,1991,173586124.35235897,175931105.25000358,-2344980.897644609,-1.3328972692533925
California,CA,1992,177937211.44144183,173586124.35235897,4351087.089082867,2.506586920651954
California,CA,1993,179187485.9190084,177937211.44144183,1250274.47756657,0.7026492476971454
California,CA,1994,181757686.1446566,179187485.9190084,2570200.2256481946,1.434363684755256
California,CA,1995,182638428.30548933,181757686.1446566,880742.1608327329,0.4845694174010178
California,CA,1996,189704624.9535099,182638428.30548933,7066196.6480205655,3.8689539291267465
California,CA,1997,191730554.96321994,189704624.9535099,2025930.0097100437,1.0679391766049615
California,CA,1998,191094629.15546468,191730554.96321994,-635925.8077552617,-0.33167682004428173
California,CA,1999,195755713.92695984,191094629.15546468,4661084.771495163,2.439150065124618
California,CA,2000,203740766.62590027,195755713.92695984,7985052.698940426,4.0790904841325855
California,CA,2001,201354322.57118228,203740766.62590027,-2386444.054717988,-1.1713139663893923
California,CA,2002,203592588.89645845,201354322.57118228,2238266.325276166,1.111605798522105
California,CA,2003,209535582.11997485,203592588.89645845,5942993.223516405,2.919061669056552
California,CA,2004,216901623.04307246,209535582.11997485,7366040.9230976105,3.515412918689867
California,CA,2005,213731677.5495863,216901623.04307246,-3169945.493486166,-1.4614669309582236
California,CA,2006,220708584.61427322,213731677.5495863,6976907.064686924,3.2643299040537705
California,CA,2007,224815576.11038733,220708584.61427322,4106991.496114105,1.8608209115616368
California,CA,2008,216751047.36328605,224815576.11038733,-8064528.747101277,-3.587175269004266
California,CA,2009,224365238.65906227,216751047.36328605,7614191.295776218,3.512874049929935
California,CA,2010,236048136.4230327,224365238.65906227,11682897.763970435,5.207089045430681
California,CA,2011,237389612.30338165,236048136.4230327,1341475.8803489506,0.5683060670069559
California,CA,2012,240962190.16995057,237389612.30338165,3572577.866568923,1.504942795055077
California,CA,2013,243625360.12447026,240962190.16995057,2663169.954519689,1.1052231690960959
California,CA,2014,242879661.2263178,243625360.12447026,-745698.8981524706,-0.3060842671598255
California,CA,2015,261611519.28807783,242879661.2263178,18731858.06176004,7.7124029106354435
California,CA,2016,252566073.65481985,261611519.28807783,-9045445.633257985,-3.457586905145963
California,CA,2017,254967881.4122158,252566073.65481985,2401807.757395953,0.9509621473066433
California,CA,2018,257264550.4902245,254967881.4122158,2296669.0780087113,0.9007679968503968
California,CA,2019,266976988.9521508,257264550.4902245,9712438.461926281,3.7752727468354923
California,CA,2020,277138514.85396826,266976988.9521508,10161525.90181747,3.806142971984256
California,CA,2021,268750835.7807071,277138514.85396826,-8387679.073261142,-3.0265295596611086
California,CA,2022,278295302.5666528,268750835.7807071,9544466.785945654,3.5514184572559477
California,CA,2023,279244388.753856,278295302.5666528,949086.1872032285,0.3410356475477766
California,CA,2024,288232234.6382075,279244388.753856,8987845.884351492,3.2186307930699223
Colorado,CO,1990,34728611.770651415,,,
Colorado,CO,1991,35987509.2984788,34728611.770651415,1258897.527827382,3.624957819048949
Colorado,CO,1992,36086222.88816401,35987509.2984788,98713.58968521655,0.27429958785558184
Colorado,CO,1993,37436981.08948188,36086222.88816401,1350758.2013178691,3.743140991796364
Colorado,CO,1994,36804641.24820342,37436981.08948188,-632339.8412784636,-1.6890780796855513
Colorado,CO,1995,37665337.166270934,36804641.24820342,860695.9180675149,2.3385526631360083
Colorado,CO,1996,37880052.62728924,37665337.166270934,214715.461018309,0.5700611680985702
Colorado,CO,1997,39715445.381323926,37880052.62728924,1835392.754034683,4.845275090015171
Colorado,CO,1998,40236096.26911115,39715445.381323926,520650.88778722286,1.3109531639095187
Colorado,CO,1999,39842843.7480953,40236096.26911115,-393252.5210158527,-0.9773625114764145
Colorado,CO,2000,41097196.529757366,39842843.7480953,1254352.7816620693,3.148251137877261
Colorado,CO,2001,41974345.34386783,41097196.529757366,877148.8141104653,2.134327613990277
Colorado,CO,2002,42163029.49264473,41974345.34386783,188684.1487768963,0.4495225529573668
Colorado,CO,2003,42751833.92115561,42163029.49264473,588804.428510882,1.3964945963230606
Colorado,CO,2004,42894164.66610108,42751833.92115561,142330.74494547397,0.33292313309404503
Colorado,CO,2005,43275826.57030865,42894164.66610108,381661.9042075649,0.88977581724348
Colorado,CO,2006,45361164.77900903,43275826.57030865,2085338.2087003812,4.818713757696594
Colorado,CO,2007,46047387.569035895,45361164.77900903,686222.7900268659,1.5127979922253163
Colorado,CO,2008,44858835.1950677,46047387.569035895,-1188552.3739681914,-2.581150498899142
Colorado,CO,2009,44998970.575984016,44858835.1950677,140135.38091631234,0.31239192972117213
Colorado,CO,2010,47105849.17420995,44998970.575984016,2106878.5982259363,4.6820595477141405
Colorado,CO,2011,48537335.19430182,47105849.17420995,1431486.020091869,3.0388710641811234
Colorado,CO,2012,49599654.038352184,48537335.19430182,1062318.8440503627,2.1886633038211722
Colorado,CO,2013,50323779.01102844,49599654.038352184,724124.9726762548,1.4599395635226329
Colorado,CO,2014,50862928.17823263,50323779.01102844,539149.1672041938,1.0713606525575898
Colorado,CO,2015,51344371.04987977,50862928.17823263,481442.8716471344,0.9465496558909744
Colorado,CO,2016,50958135.778395906,51344371.04987977,-386235.2714838609,-0.7522446250410645
Colorado,CO,2017,51885536.19176467,50958135.778395906,927400.4133687615,1.8199261005186536
Colorado,CO,2018,54237491.04783866,51885536.19176467,2351954.8560739905,4.532968200196215
Colorado,CO,2019,54417875.794336066,54237491.04783866,180384.74649740756,0.33258313209640217
Colorado,CO,2020,52841828.84328546,54417875.794336066,-1576046.9510506094,-2.8961934438731762
Colorado,CO,2021,54935085.95521985,52841828.84328546,2093257.1119343936,3.961363862220641
Colorado,CO,2022,57032950.94217455,54935085.95521985,2097864.9869546965,3.818807143880259
Colorado,CO,2023,56373708.547796704,57032950.94217455,-659242.3943778425,-1.1558973952553242
Colorado,CO,2024,57582982.14841492,56373708.547796704,1209273.6006182134,2.145102090618937
Connecticut,CO,1990,18589277.002392534,,,
Connecticut,CO,1991,18975953.38801549,18589277.002392534,386676.38562295586,2.0801044902025434
Connecticut,CO,1992,19230060.991561476,18975953.38801549,254107.60354598612,1.3391032236961073
Connecticut,CO,1993,19186612.92118069,19230060.991561476,-43448.07038078457,-0.22593828693445345
Connecticut,CO,1994,19858721.09416988,19186612.92118069,672108.1729891896,3.5030058497048677
Connecticut,CO,1995,19776905.35363969,19858721.09416988,-81815.74053019285,-0.4119889701971407
Connecticut,CO,1996,20145090.59342418,19776905.35363969,368185.2397844903,1.8616928847097431
Connecticut,CO,1997,20794096.193678483,20145090.59342418,649005.6002543047,3.221656399332128
Connecticut,CO,1998,21025034.152546022,20794096.193678483,230937.95886753872,1.1105938758605198
Connecticut,CO,1999,21509769.722557094,21025034.152546022,484735.57001107186,2.3055162074605855
Connecticut,CO,2000,21667388.704163287,21509769.722557094,157618.9816061929,0.732778563598007
Connecticut,CO,2001,21914331.094310183,21667388.704163287,246942.39014689624,1.1396961282161677
Connecticut,CO,2002,21821904.67331729,21914331.094310183,-92426.42099289224,-0.4217624557880745
Connecticut,CO,2003,22396036.491199546,21821904.67331729,574131.8178822547,2.630988570783529
Connecticut,CO,2004,22638267.866498582,22396036.491199546,242231.3752990365,1.0815814458697661
Connecticut,CO,2005,22958160.130326282,22638267.866498582,319892.26382770017,1.4130598052561045
Connecticut,CO,2006,23989084.448476978,22958160.130326282,1030924.3181506954,4.490448329911722
Connecticut,CO,2007,23794598.66162764,23989084.448476978,-194485.78684933856,-0.8107261753446622
Connecticut,CO,2008,23896534.416970003,23794598.66162764,101935.75534236431,0.42839871683463615
Connecticut,CO,2009,24005758.04616324,23896534.416970003,109223.62919323519,0.45706890918739485
Connecticut,CO,2010,25283023.638114985,24005758.04616324,1277265.5919517465,5.320663440394409
Connecticut,CO,2011,25365850.367895607,25283023.638114985,82826.72978062183,0.3275981977715585
Connecticut,CO,2012,25822813.97349037,25365850.367895607,456963.60559476167,1.8014913711433052
Connecticut,CO,2013,26121956.489424925,25822813.97349037,299142.5159345567,1.1584427485000497
Connecticut,CO,2014,26198416.333514012,26121956.489424925,76459.8440890871,0.29270335903070926
Connecticut,CO,2015,27159081.865327347,26198416.333514012,960665.5318133347,3.6668839810153515
Connecticut,CO,2016,27083741.403691564,27159081.865327347,-75340.46163578331,-0.2774043025805182
Connecticut,CO,2017,27205503.33754439,27083741.403691564,121761.93385282531,0.4495757511413432
Connecticut,CO,2018,28312987.806792032,27205503.33754439,1107484.469247643,4.070810436796006
Connecticut,CO,2019,28202412.205036633,28312987.806792032,-110575.60175539926,-0.390547272898105
Connecticut,CO,2020,28920713.318692394,28202412.205036633,718301.1136557609,2.546949205740211
Connecticut,CO,2021,29969455.506562844,28920713.318692394,1048742.1878704503,3.626266670236707
Connecticut,CO,2022,30372313.253041234,29969455.506562844,402857.74647838995,1.3442277801482594
Connecticut,CO,2023,30167177.07738325,30372313.253041234,-205136.17565798387,-0.6754051755917644
Connecticut,CO,2024,30182982.012466174,30167177.07738325,15804.935082923621,0.052391163556277195
Delaware,DE,1990,7157956.463696473,,,
Delaware,DE,1991,7122428.455490568,7157956.463696473,-35528.00820590556,-0.49634289319997305
Delaware,DE,1992,7385423.352867027,7122428.455490568,262994.8973764591,3.692489142150954
Delaware,DE,1993,7495311.386126691,7385423.352867027,109888.03325966373,1.4879043219236052
Delaware,DE,1994,7574694.058595996,7495311.386126691,79382.6724693058,1.0590977262964378
Delaware,DE,1995,7518930.662428584,7574694.058595996,-55763.3961674124,-0.7361801775232147
Delaware,DE,1996,7659616.273023823,7518930.662428584,140685.61059523933,1.871085356568489
Delaware,DE,1997,7920108.686055234,7659616.273023823,260492.41303141043,3.4008546087201648
Delaware,DE,1998,7869509.478498247,7920108.686055234,-50599.20755698625,-0.6388701160891288
Delaware,DE,1999,7940100.672591283,7869509.478498247,70591.19409303553,0.8970215270203421
Delaware,DE,2000,8185730.833582456,7940100.672591283,245630.16099117324,3.093539630285454
Delaware,DE,2001,8434305.598520294,8185730.833582456,248574.7649378376,3.0366838342404883
Delaware,DE,2002,8480003.456391735,8434305.598520294,45697.85787144117,0.5418093681530625
Delaware,DE,2003,8564171.426857129,8480003.456391735,84167.97046539374,0.9925464169705356
Delaware,DE,2004,8528668.964958532,8564171.426857129,-35502.46189859696,-0.41454637149440643
Delaware,DE,2005,8838841.583482295,8528668.964958532,310172.6185237635,3.636823281547915
Delaware,DE,2006,9105395.992537504,8838841.583482295,266554.4090552088,3.0157165567186537
Delaware,DE,2007,8933801.765229005,9105395.992537504,-171594.2273084987,-1.8845333849195784
Delaware,DE,2008,8930796.930408126,8933801.765229005,-3004.8348208796233,-0.033634447011961416
Delaware,DE,2009,9194849.185059432,8930796.930408126,264052.2546513062,2.956648289160454
Delaware,DE,2010,9569623.017416198,9194849.185059432,374773.83235676587,4.075910597486798
Delaware,DE,2011,9696330.355017567,9569623.017416198,126707.33760136925,1.3240577750112907
Delaware,DE,2012,9843911.206259985,9696330.355017567,147580.85124241747,1.5220278789908257
Delaware,DE,2013,9855589.712924795,9843911.206259985,11678.506664810702,0.11863685500722572
Delaware,DE,2014,9976905.772084625,9855589.712924795,121316.05915983021,1.2309365821178024
Delaware,DE,2015,10337217.361677073,9976905.772084625,360311.5895924475,3.611456275357426
Delaware,DE,2016,10492587.471183624,10337217.361677073,155370.10950655118,1.50301676041515
Delaware,DE,2017,10673943.429474907,10492587.471183624,181355.95829128288,1.7284197895833686
Delaware,DE,2018,10853770.625955349,10673943.429474907,179827.19648044184,1.6847306496291619
Delaware,DE,2019,10842355.325614594,10853770.625955349,-11415.300340754911,-0.10517359113391192
Delaware,DE,2020,10780653.82626912,10842355.325614594,-61701.499345473945,-0.5690783735864737
Delaware,DE,2021,11298218.62692656,10780653.82626912,517564.80065744,4.800866524405919
Delaware,DE,2022,11400453.499857627,11298218.62692656,102234.8729310669,0.9048760367179912
Delaware,DE,2023,11595386.779246446,11400453.499857627,194933.2793888189,1.709873027342757
Delaware,DE,2024,11813134.222342879,11595386.779246446,217747.44309643283,1.877879946929926
District of Columbia,DI,1990,7147171.465640791,,,
District of Columbia,DI,1991,7096659.84613796,7147171.465640791,-50511.61950283032,-0.7067358009480974
District of Columbia,DI,1992,7214010.342545135,7096659.84613796,117350.4964071745,1.653601820454129
District of Columbia,DI,1993,7239330.190669745,7214010.342545135,25319.84812461026,0.35098158891296105
District of Columbia,DI,1994,7492613.44762544,7239330.190669745,253283.2569556944,3.498711210632899
District of Columbia,DI,1995,7440538.384099136,7492613.44762544,-52075.06352630351,-0.6950186859407134
District of Columbia,DI,1996,7684394.207769986,7440538.384099136,243855.82367085014,3.2773948749728143
District of Columbia,DI,1997,7823730.740877842,7684394.207769986,139336.53310785536,1.8132403067891396
District of Columbia,DI,1998,7859875.663963632,7823730.740877842,36144.92308579013,0.4619908875050904
District of Columbia,DI,1999,8075712.950153056,7859875.663963632,215837.28618942387,2.7460648923367317
District of Columbia,DI,2000,8013795.143116663,8075712.950153056,-61917.80703639239,-0.7667162938873265
District of Columbia,DI,2001,8136272.759727199,8013795.143116663,122477.61661053542,1.5283347580420226
District of Columbia,DI,2002,8522602.251707096,8136272.759727199,386329.491979897,4.748236734296139
District of Columbia,DI,2003,8492477.65743032,8522602.251707096,-30124.594276776537,-0.3534670912366292
District of Columbia,DI,2004,8539030.760120029,8492477.65743032,46553.102689709514,0.54816868018462
District of Columbia,DI,2005,8806194.728220658,8539030.760120029,267163.96810062975,3.1287387949036307
District of Columbia,DI,2006,9026787.443561697,8806194.728220658,220592.715341039,2.504972035584444
District of Columbia,DI,2007,8961261.87670452,9026787.443561697,-65525.566857177764,-0.7259012939748957
District of Columbia,DI,2008,8968122.023415165,8961261.87670452,6860.146710645407,0.0765533560455239
District of Columbia,DI,2009,8907878.74151416,8968122.023415165,-60243.281901005656,-0.6717491325799815
District of Columbia,DI,2010,9308367.034033544,8907878.74151416,400488.292519385,4.4958884616710675
District of Columbia,DI,2011,9632580.549862245,9308367.034033544,324213.51582870074,3.4830332177846133
District of Columbia,DI,2012,9780694.15157779,9632580.549862245,148113.60171554424,1.5376315925815165
District of Columbia,DI,2013,9965779.027396463,9780694.15157779,185084.87581867352,1.8923490802420833
District of Columbia,DI,2014,10150942.945879476,9965779.027396463,185163.9184830133,1.8579974327545064
District of Columbia,DI,2015,10405218.00615785,10150942.945879476,254275.0602783747,2.5049402960302456
District of Columbia,DI,2016,10370784.022845695,10405218.00615785,-34433.98331215605,-0.33092995544906295
District of Columbia,DI,2017,10444990.648385696,10370784.022845695,74206.62554000132,0.7155353479209701
District of Columbia,DI,2018,10803350.652234446,10444990.648385696,358360.00384875014,3.4309269956516024
District of Columbia,DI,2019,10738094.769020014,10803350.652234446,-65255.883214432746,-0.6040337420773798
District of Columbia,DI,2020,10753684.476608269,10738094.769020014,15589.707588255405,0.14518131869382042
District of Columbia,DI,2021,10976738.619907454,10753684.476608269,223054.14329918474,2.0742113438829146
District of Columbia,DI,2022,11117316.96663948,10976738.619907454,140578.34673202597,1.2806932149871233
District of Columbia,DI,2023,11715325.95968096,11117316.96663948,598008.99304148,5.379076577882666
District of Columbia,DI,2024,11831901.760479348,11715325.95968096,116575.8007983882,0.9950709113821607
Florida,FL,1990,151522714.21034655,,,
Florida,FL,1991,152043584.79312453,151522714.21034655,520870.582777977,0.34375742639806145
Florida,FL,1992,152864207.79438895,152043584.79312453,820623.0012644231,0.5397287905181857
