data_center_id,data_center_name,state,city,latitude,longitude,year_operational,capacity_mw,capacity_sqft,dc_type
amazon-aws-project-green-dc11,Amazon AWS - Project Green DC11,Missouri,New Florence,38.900228,-91.42444,2018.0,,,ai
crusoe-warrenton-dc1,Crusoe Warrenton DC1,Missouri,Warrenton,38.826045,-91.181862,2018.0,,,general
project-spade-dc2,Project Spade DC2,Missouri,New Florence,38.884902,-91.431214,2018.0,,,general
cybercon,Cybercon Data Center,Missouri,Saint Louis,38.628945,-90.197616,2018.0,,,ai
project-spade-dc3,Project Spade DC3,Missouri,New Florence,38.884902,-91.427197,2018.0,,,general
tierpoint-stlouis-olive,TierPoint St. Louis-Olive,Missouri,St. Louis,38.6297652,-90.1964459,2011.0,,11000.0,general
level3-st-louis2,Lumen St. Louis 2,Missouri,St Louis,38.625471,-90.195222,2018.0,,,general
crusoe-warrenton-campus,Crusoe Warrenton Campus,Missouri,Warrenton,38.825957,-91.179814,2018.0,,,general
hostirian-st-louis,Hostirian St. Louis,Missouri,St. Louis,38.69461933654429,-90.4323705748876,2018.0,,,general
bluebird-underground,Bluebird Underground,Missouri,Springfield,37.23119970779098,-93.21257829666138,2003.0,6.0,,general
datotel,Datotel Data Center,Missouri,St. Louis,38.6325547,-90.1957112,2018.0,,30000.0,general
connectria,LightEdge - Saint Louis,Missouri,Saint Louis,38.6293006,-90.1971591,2018.0,,,ai
level3-st-louis,Lumen St. Louis 1,Missouri,St. Louis,38.629962,-90.194445,2018.0,,,general
harry-s-truman-blvd-highway-370,Harry S Truman  Blvd & Highway 370,Missouri,Saint Charles,38.8159303665148,-90.54531666136552,2018.0,,1500000.0,ai
amazon-aws-project-green-dc5,Amazon AWS - Project Green DC5,Missouri,New Florence,38.900451,-91.428075,2018.0,,,ai
amazon-aws-project-green-dc13,Amazon AWS - Project Green DC13,Missouri,New Florence,38.899036,-91.42461,2018.0,,,ai
amazon-aws-project-green-dc2,Amazon AWS - Project Green DC2,Missouri,New Florence,38.90422,-91.428948,2018.0,,,ai
globe-building,The Globe Building,Missouri,St. Louis,38.632503,-90.19645,2018.0,,,general
crusoe-warrenton-dc2,Crusoe Warrenton DC2,Missouri,Warrenton,38.826067,-91.177712,2018.0,,,general
tierpoint-stlouis-walnut,TierPoint St. Louis-Walnut,Missouri,St. Louis,38.6254446,-90.1952167,2018.0,,4800.0,general
amazon-aws-project-green-dc3,Amazon AWS - Project Green DC3,Missouri,New Florence,38.904271,-91.427978,2018.0,,,ai
amazon-aws-project-green-dc4,Amazon AWS - Project Green DC4,Missouri,New Florence,38.900427,-91.429149,2018.0,,,ai
amazon-aws-project-green-dc12,Amazon AWS - Project Green DC12,Missouri,New Florence,38.900083,-91.419555,2018.0,,,ai
bluebird-underground,Bluebird Underground,Missouri,Springfield,37.23119970779098,-93.21257829666138,2003.0,6.0,,general
wildwood-ranch-data-center,Wildwood Ranch Data Center,Missouri,Joplin,37.0708689,-94.5839289,2018.0,200.0,,general
isg-columbia,ISG Columbia,Missouri,Columbia,38.9817301,-92.3709146,2018.0,,,general
edged-kansas-city,Edged Kansas City,Missouri,Kansas City,39.1567838,-94.4640779,2018.0,24.0,,general
cosentry2,TierPoint Kansas City,Missouri,Kansas City,39.2901266,-94.6850376,2018.0,,5600.0,general
lightedge-solutions-data-center,LightEdge - Kansas City,Missouri,Kansas City,39.1590191,-94.4713502,2018.0,2.7,34280.0,general
meta-kansas-city-data-center,Meta Kansas City Campus,Missouri,Kansas City,39.3223518,-94.5957146,2018.0,,,ai
cogent-data-center-kansas-city,Cogent Data Center - Kansas City,Missouri,Kansas City,39.1126169,-94.5763612,2018.0,9.9,67518.0,general
patmos-kansas-city,Patmos Kansas City,Missouri,Kansas City,39.0947391,-94.5793757,2006.0,100.0,400000.0,general
nebius-independence-campus,Nebius Independence Campus,Missouri,Independence,39.10259,-94.306323,2028.0,800.0,,general
nebius-independence-dc1,Nebius Independence DC1,Missouri,Independence,39.10668,-94.300371,2018.0,,,general
level3-jackson1,Lumen Jackson 1,Missouri,Jackson,38.938459,-94.3900502,2018.0,,,general
meta-kansas-city-building-1,Meta Kansas City - Building 1,Missouri,Kansas City,39.32270498045392,-94.59795399688952,2025.0,,,ai
subtropolis-technology-center,SubTropolis Technology Center,Missouri,Kansas City,39.15688942508717,-94.48099697644882,2018.0,15.0,2000000.0,general
1530-swift,1530 Swift,Missouri,Kansas City,39.1373431,-94.5777582,2018.0,13.0,175000.0,general
meta-kansas-city-data-center,Meta Kansas City Campus,Missouri,Kansas City,39.3223518,-94.5957146,2018.0,,,ai
iron-mountain-kcm-1,Iron Mountain Data Centers KCM-1,Missouri,Kansas City,39.0110286,-94.5012027,2006.0,3.9,,ai
level3-kansas-city1,Lumen Kansas City,Missouri,Kansas City,39.100553,-94.5824337,2018.0,,,general
nebius-independence-campus,Nebius Independence Campus,Missouri,Independence,39.10259,-94.306323,2028.0,800.0,,general
ip-pathways,IP Pathways Kansas City,Missouri,Kansas City,39.1011708,-94.5787964,2018.0,0.5,11000.0,general
meta-kansas-city-building-1,Meta Kansas City - Building 1,Missouri,Kansas City,39.32270498045392,-94.59795399688952,2025.0,,,ai
level-3-kansas-city,Lumen Kansas City,Missouri,Kansas City,39.10071,-94.583158,2018.0,,,general
nocix-clay,NOCIX Clay,Missouri,Kansas City,39.1374541,-94.5785776,2018.0,,,general
joes-datacenter,Joes Datacenter,Missouri,Kansas City,39.0971892,-94.5672284,2018.0,,,general
oak-tower,Oak Tower,Missouri,Kansas City,39.1012333,-94.5787877,2018.0,,,general
google-project-mica-dc3,Google Project Mica DC3,Missouri,Kansas City,39.316573,-94.576568,2018.0,,,ai
google-project-mica-dc4,Google Project Mica DC4,Missouri,Kansas City,39.317004,-94.569278,2018.0,,,ai
nebius-independence-dc2,Nebius Independence DC2,Missouri,Independence,39.102623,-94.303317,2018.0,,,general
rackspace-kansas-city,Rackspace Kansas City,Missouri,Kansas City,39.2905853,-94.6759587,2018.0,2.5,15256.0,general
google-project-mica-dc5,Google Project Mica DC5,Missouri,Kansas City,39.313838,-94.572637,2018.0,,,ai
nebius-independence-dc3,Nebius Independence DC3,Missouri,Independence,39.101897,-94.309659,2018.0,,,general
nebius-independence-dc4,Nebius Independence DC4,Missouri,Independence,39.099002,-94.312465,2018.0,,,general
google-project-mica-dc2,Google Project Mica DC2,Missouri,Kansas City,39.320775,-94.576545,2018.0,,,ai
11155-n-airworld-dr,Lambda Kansas City,Missouri,Kansas City,39.2956805,-94.6740566,2026.0,100.0,,general
iron-mountain-kcm-1,Iron Mountain Data Centers KCM-1,Missouri,Kansas City,39.0110286,-94.5012027,2006.0,3.9,,ai
meta-kansas-city-building-2,Meta Kansas City - Building 2,Missouri,Kansas City,39.32270498045392,-94.594426,2018.0,,,ai
meta-kansas-city-building-2,Meta Kansas City - Building 2,Missouri,Kansas City,39.32270498045392,-94.594426,2018.0,,,ai
nebius-kansas-city,Nebius Kansas City,Missouri,Kansas City,39.0947391,-94.5793757,2018.0,40.0,,general
level3-kansas-city3,Lumen Kansas City 3,Missouri,Kansas City,39.090489,-94.568288,2018.0,,,general
orion-data-centers,Orion Data Centers,Missouri,Columbia,38.9523428,-92.3314301,2018.0,,,general
brightspeed-columbia,Brightspeed Columbia,Missouri,Columbia,38.9508899,-92.3300973,2018.0,,97540.0,general
aaim-missouri-1,AAIM Missouri 1,Missouri,Mexico,39.16575620561504,-91.87113858465726,2024.0,15.0,,ai
level3-columbia1,Lumen Columbia 1,Missouri,Columbia,38.914977,-92.296229,2018.0,,,general
isg-columbia,ISG Columbia,Missouri,Columbia,38.9817301,-92.3709146,2018.0,,,general
brightspeed-rolla,Brightspeed Rolla,Missouri,Rolla,37.95209,-91.77027,2018.0,,31355.0,general
core-scientific-marble,Core Scientific Marble,North Carolina,Marble,35.18557054286533,-83.91614842883564,2018.0,105.0,,crypto
automated-results-data-center,Automated Results Data Center,North Carolina,Rosman,35.1995853,-82.8719478,2018.0,,33000.0,general
immedion-technology,"DartPoints Asheville, NC - AVL01",North Carolina,Asheville,35.4888818,-82.5582222,2011.0,1.5,11200.0,general
solidspace,SolidSpace,North Carolina,Winston-Salem,36.1812299,-80.2823575,1993.0,1.0,13000.0,general
datachambers,Segra Winston-Salem,North Carolina,Winston-Salem,36.0559097,-80.2274853,2002.0,3.5,29000.0,general
data-shell-nc,NC Data Center Park,North Carolina,Claremont,35.70149,-81.1571716,2018.0,,,general
level3-raleigh3,Lumen Raleigh 3,North Carolina,Raleigh,35.8262613,-78.6095337,2018.0,,,general
celito-data-center,Celito Data Center,North Carolina,Raleigh,35.7984144,-78.7311001,2018.0,,,general
lumen-raleigh-4,Lumen Raleigh 4,North Carolina,Raleigh,35.854359,-78.5970222,2018.0,,,general
new-hill-digital-campus,New Hill Digital Campus,North Carolina,New Hill,35.66393,-78.956647,2018.0,300.0,,general
1918-wake-forest-rd,Lumen Raleigh 2,North Carolina,Raleigh,35.805984,-78.624759,2018.0,,,general
cisco-rtp-data-center,Cisco RTP Data Center,North Carolina,Morrisville,35.85535253382376,-78.86811183999367,2011.0,2.8,19200.0,general
american-tower-raleigh,American Tower AEDC Raleigh,North Carolina,Raleigh,35.7879906,-78.7263718,2025.0,4.0,4000.0,general
onramp,LightEdge - Raleigh,North Carolina,Raleigh,35.9073401,-78.7781416,2018.0,0.24,4836.0,general
cogent-data-center-raleigh,Cogent Data Center - Raleigh,North Carolina,Raleigh,35.7789036,-78.6476706,2018.0,,3954.0,general
flexential-raleigh,Flexential Raleigh Data Center - $0 NRC's,North Carolina,Morrisville,35.849056,-78.829509,2018.0,4.31,,general
acehost-raleigh-durham-data-center,AceHost Raleigh-Durham Data Center,North Carolina,Durham,35.8957405,-78.84917279999999,2018.0,1.25,14000.0,general
1918-wake-forest-rd,Lumen Raleigh 2,North Carolina,Raleigh,35.805984,-78.624759,2018.0,,,general
1918-wake-forest-rd,Lumen Raleigh 2,North Carolina,Raleigh,35.805984,-78.624759,2018.0,,,general
1918-wake-forest-rd,Lumen Raleigh 2,North Carolina,Raleigh,35.805984,-78.624759,2018.0,,,general
1918-wake-forest-rd,Lumen Raleigh 2,North Carolina,Raleigh,35.805984,-78.624759,2018.0,,,general
tranquil-hosting,NetActuate Cary Data Center,North Carolina,Cary,35.7336631,-78.8149545,2018.0,1.7,,general
datachambers3,Segra Raleigh,North Carolina,Raleigh,35.724984,-78.6623626,2013.0,3.0,7800.0,general
hosted-solutions-raleigh,TierPoint Raleigh - RAL,North Carolina,Raleigh,35.85426,-78.595798,2018.0,,40000.0,general
cyrusone-dur1,CyrusOne DUR1 - Durham,North Carolina,Durham,35.9362156,-78.88035649999999,2018.0,50.0,220000.0,ai
mcnc-research-triangle-park,MCNC Research Triangle Park,North Carolina,Research Triangle Park,35.91970404766731,-78.87021058535522,2018.0,,5000.0,general
tierpoint-raleigh-rtp,TierPoint Raleigh - RTP,North Carolina,Durham,35.897051,-78.8787713,2018.0,3.6,34000.0,general
mcnc-rosman,MCNC Rosman,North Carolina,Rosman,35.19958830164818,-82.87194431365427,2018.0,0.5,1200.0,general
fayetteville-netzero-campus,Fayetteville NetZero Campus,North Carolina,Fayetteville,35.06099469254453,-78.83405798914062,2018.0,,,general
ait-fayetteville,AIT.com Data Center,North Carolina,Fayetteville,35.0546519,-78.882739,2000.0,,27000.0,ai
pari-data-center,PARI Data Center,North Carolina,Rosman,35.19960264022757,-82.8720207615507,2018.0,,,general
microsoft-lyle-creek,Microsoft Lyle Creek Campus,North Carolina,Conover,35.733539,-81.202804,2018.0,,,ai
microsoft-lyle-creek-building-2,Microsoft Lyle Creek - Building 2,North Carolina,Conover,35.732731,-81.204206,2018.0,,,ai
microsoft-lyle-creek-building-5,Microsoft Lyle Creek - Building 5,North Carolina,Conover,35.733311,-81.199717,2018.0,,,ai
microsoft-lyle-creek-building-4,Microsoft Lyle Creek - Building 4,North Carolina,Conover,35.734204,-81.200722,2018.0,,,ai
microsoft-lyle-creek-building-3,Microsoft Lyle Creek - Building 3,North Carolina,Conover,35.731768,-81.203299,2018.0,,,ai
digipowerx-hildebran,DigiPowerX Hildebran,North Carolina,Hildebran,35.72076583394954,-81.41291745867305,2018.0,200.0,,general
801-main-street---lenoir,801 Main Street - Lenoir,North Carolina,Lenoir,35.923481,-81.542542,2018.0,1.0,,ai
microsoft-lyle-creek-building-1,Microsoft Lyle Creek - Building 1,North Carolina,Conover,35.734617,-81.207907,2018.0,,250000.0,ai
google-lenoir,Google Lenoir Data Center,North Carolina,Lenoir,35.8983435,-81.5474909,2018.0,,,ai
meta-forest-city-building-3,Meta Forest City - Building 3,North Carolina,Forest City,35.31415725658326,-81.82220496323053,2018.0,,,ai
charlotte-gateway,Charlotte Gateway Data Center,North Carolina,Charlotte,35.221643,-80.834887,2018.0,20.0,,general
charlotte-4,TierPoint Charlotte 4- Center Park,North Carolina,Charlotte,35.1732171,-80.928129,2018.0,,20000.0,general
meta-forest-city-building-2,Meta Forest City - Building 2,North Carolina,Forest City,35.3165376,-81.8251227,2018.0,,,ai
segra-charlotte-1,Segra Charlotte 1,North Carolina,Charlotte,35.1938979,-80.9372017,2011.0,0.5,5000.0,general
cadc-charlotte,CENTRA Charlotte (CLT1),North Carolina,Charlotte,35.2221009,-80.836747,2018.0,5.0,,general
4021-rose-lake,4021 Rose Lake Drive,North Carolina,Charlotte,35.1786858,-80.928133,2018.0,,,general
725-east-trade-street,725 East Trade Street,North Carolina,Charlotte,35.2215548,-80.840116,2018.0,12.0,,general
level3-charlotte2,Lumen Charlotte 2,North Carolina,Charlotte,35.22146,-80.835388,2018.0,,,general
centrilogic-lenoir,CentriLogic Lenoir,North Carolina,Lenoir,35.922479,-81.5427402,2018.0,,23500.0,general
compass-statesville-building-1,Compass Statesville - Building 1,North Carolina,Statesville,35.776419,-80.974075,2022.0,,270000.0,crypto
compass-statesville,Compass Statesville,North Carolina,Statesville,35.777147,-80.975634,2022.0,500.0,,crypto
cloudogre-data-center,CloudOgre Data Center,North Carolina,Mill Spring,35.2999002,-82.16081299999999,2018.0,,,general
charlotte-colocation-center,Charlotte Colocation Center,North Carolina,Charlotte,35.1522159,-80.841777,2018.0,,,general
powerhouse-charlotte,PowerHouse Charlotte,North Carolina,Charlotte,35.3115685,-80.7035758,2018.0,,,general
lumen-charlotte-3,Lumen Charlotte 3,North Carolina,Charlotte,35.2359135,-80.8333326,2018.0,,,general
flexential-charlotte-south,Flexential Charlotte - South Data Center - $0 NRC's,North Carolina,Charlotte,35.134991,-80.936312,2018.0,2.36,,general
meta-forest-city-data-center,Meta Forest City Campus,North Carolina,Forest City,35.3156556,-81.824743,2018.0,,,ai
lumen-charlotte-4,Lumen Charlotte 4,North Carolina,Charlotte,35.2218076,-80.9212504,2018.0,,,general
t5-kingsmountain,T5 Data Centers - T5@Charlotte,North Carolina,Kings Mountain,35.2517446,-81.3968399,2018.0,180.0,,ai
hosted-solutions-charlotte,TierPoint Charlotte 2 - North Myers,North Carolina,Charlotte,35.221431,-80.835792,2018.0,,7500.0,general
5cdc-charlotte-clt01,5CDC Charlotte - CLT01,North Carolina,Charlotte,35.2215548,-80.840116,2018.0,1600.0,,general
tierpoint-charlotte-31,TierPoint Charlotte 3,North Carolina,Charlotte,35.221913,-80.8355054,2018.0,,,general
cogent-charlotte,Cogent Data Center - Charlotte,North Carolina,Charlotte,35.22216623788286,-80.83665799389865,2018.0,0.9,4869.0,general
flexential-charlotte,Flexential Charlotte - North Data Center,North Carolina,Charlotte,35.3297186,-80.7656823,2018.0,3.3,,general
125-north-myers-street,125 North Myers Street (CTL11),North Carolina,Charlotte,35.2218852,-80.8355384,2000.0,0.9,7500.0,general
meta-forest-city-building-1,Meta Forest City - Building 1,North Carolina,Forest City,35.31735174553799,-81.82634120734612,2018.0,,,ai
data-journey-claremont,Data Journey Catawba County,North Carolina,Claremont,35.7014246,-81.1565612,2013.0,30.0,47500.0,general
level3-charlotte1,Lumen Charlotte 1,North Carolina,Charlotte,35.178956,-80.928133,2018.0,,,general
h5-charlotte,H5 Data Centers Charlotte,North Carolina,Charlotte,35.3297395,-80.76586700000001,2018.0,20.0,207000.0,general
dc74-charlotte,Segra Charlotte 4,North Carolina,Charlotte,35.180051,-80.9263579,2018.0,1.5,12000.0,general
12899-moores-chapel-rd,12899 Moores Chapel Rd,North Carolina,Charlotte,35.2511619,-81.0012048,2018.0,,,general
urp-data-center,Charlotte Data Center,North Carolina,Charlotte,35.1799482,-80.9262615,2018.0,,12000.0,general
compass-statesville-building-5,Compass Statesville - Building 5,North Carolina,Statesville,35.7785,-80.975902,2022.0,,270000.0,crypto
compass-statesville-building-2,Compass Statesville - Building 2,North Carolina,Statesville,35.776528,-80.975114,2022.0,,270000.0,crypto
dc74,Segra Charlotte 2,North Carolina,Charlotte,35.1938069,-80.9384415,2012.0,2.5,14032.0,general
scalematrix-charlotte-us-east-01,ScaleMatrix Charlotte,North Carolina,Charlotte,35.1731908,-80.9281183,1999.0,3.0,,general
compass-statesville-building-3,Compass Statesville - Building 3,North Carolina,Statesville,35.776569,-80.976196,2022.0,,270000.0,crypto
compass-statesville-building-4,Compass Statesville - Building 4,North Carolina,Statesville,35.77663,-80.977311,2022.0,,270000.0,crypto
windstream-charlotte,Windstream Charlotte,North Carolina,Charlotte,35.2180275,-80.8375626,2018.0,,,general
datachambers4,Segra Kannapolis,North Carolina,Kannapolis,35.5051704,-80.6227366,2015.0,2.4,15216.0,general
731-east-trade-street,731 East Trade Street (CTL12),North Carolina,Charlotte,35.2215267,-80.8359964,2000.0,,40800.0,general
113-north-myers-street,113 North Myers Street (CLT10),North Carolina,Charlotte,35.2218852,-80.8355384,1999.0,0.6,3500.0,general
cogent-data-center-charlotte-2,Cogent Data Center - Charlotte 2,North Carolina,Charlotte,35.22108663130312,-80.85821348553583,2018.0,,4497.0,general
amazon-aws-richmond-county,Amazon AWS - Richmond County,North Carolina,Hamlet,34.83816222175869,-79.72354525323648,2018.0,,,ai
mooresville-technology-park-building-3,Mooresville Technology Park - Building 3,North Carolina,Mooresville,35.515563,-80.751136,2018.0,,,general
mooresville-technology-park-building-4,Mooresville Technology Park - Building 4,North Carolina,Mooresville,35.514435,-80.751493,2018.0,,,general
mooresville-technology-park-building-5,Mooresville Technology Park - Building 5,North Carolina,Mooresville,35.512345,-80.749225,2018.0,,,general
mooresville-technology-park-building-2,Mooresville Technology Park - Building 2,North Carolina,Mooresville,35.515088,-80.758214,2018.0,,,general
mooresville-technology-park-building-1,Mooresville Technology Park - Building 1,North Carolina,Mooresville,35.516174,-80.757579,2018.0,,,general
mooresville-technology-park,Mooresville Technology Park,North Carolina,Mooresville,35.513876,-80.754262,2018.0,,,general
microsoft-person-county-mega-park,Microsoft - Person County Mega Park,North Carolina,Roxboro,36.46694780646514,-78.99134554232771,2018.0,,,ai
impactdata-greensboro-dream-center,ImpactData Greensboro Dream Center,North Carolina,Greensboro,36.0575826,-79.745705,2026.0,300.0,65000.0,general
dc-blox-high-point,DC BLOX High Point,North Carolina,King,36.2631795,-80.3795574,2018.0,18.0,54000.0,general
805-island-drive,Enovum Data Centers NC01 - Madison,North Carolina,Madison,36.4041401,-79.9890524,2026.0,200.0,,general
twtc-greensboro,Lumen Greensboro 2,North Carolina,Greensboro,36.067414,-79.952355,2018.0,,,general
dynamic-quest,Dynamic Quest Data Center,North Carolina,Greensboro,36.0497504,-79.8816546,2018.0,,,general
one-source-greensboro,GTT Greensboro Data Center,North Carolina,Greensboro,36.078184,-79.786224,2018.0,,,general
level3-greensboro1,Lumen Greensboro 1,North Carolina,Greensboro,36.0291024,-79.7946387,2018.0,,,general
project-delta,Project Delta,North Carolina,Walnut Cove,36.3213871,-80.1028936,2018.0,,,general
robena-mine-data-center,Robena Mine Data Center,North Carolina,Greensboro,39.83072821166364,-79.93452709264194,2029.0,,,general
goldsboro-networks,Tarheel Cloud Data Center,North Carolina,Princeton,35.46572709215928,-78.16024426370859,2011.0,15.0,4300.0,general
apple-maiden-building-1,Apple Maiden - Building 1,North Carolina,Maiden,35.5880358,-81.2626911,2018.0,,,ai
apple-maiden-building-4,Apple Maiden - Building 4,North Carolina,Maiden,35.59042478984958,-81.26443535847525,2018.0,,,ai
apple-maiden-building-3,Apple Maiden - Building 3,North Carolina,Maiden,35.58610890486771,-81.26223876528883,2018.0,,,ai
microsoft-boyd-farms-campus,Microsoft Boyd Farms Campus,North Carolina,Maiden,35.58873042736371,-81.23112001284136,2018.0,,,ai
apple-maiden-campus,Apple Maiden Campus,North Carolina,Maiden,35.5877634,-81.2569565,2018.0,,,ai
apple-maiden-building-2,Apple Maiden - Building 2,North Carolina,Maiden,35.58708568088791,-81.26023048518098,2018.0,,,ai
apple-maiden-building-5,Apple Maiden - Building 5,North Carolina,Maiden,35.59171320110948,-81.26079180673116,2018.0,,,ai
microsoft-boyd-farms-data-center-1,Microsoft Boyd Farms Data Center 1,North Carolina,Maiden,35.58952955430274,-81.23068712789212,2018.0,,,ai
balsamwest-data-center,BalsamWest Data Center,North Carolina,Sylva,35.3501092,-83.2084568,2018.0,,,general
tarboro-netzero-campus,Tarboro NetZero Campus,North Carolina,Tarboro,35.904749,-77.585399,2018.0,,,general
kingsboro-netzero-campus,Kingsboro NetZero Campus,North Carolina,Rocky Mount,35.920392,-77.690599,2018.0,,,general
applied-digital-eln-datacenter,Applied Digital Polaris Forge 1,North Dakota,Ellendale,46.01508479946312,-98.57233254208022,2025.0,,,general
aurum-capital-ventures-bismarck,Aurum Capital Ventures - Bismarck,North Dakota,Bismarck,46.80679734451891,-100.7206401059407,2018.0,,,general
applied-digital-eln1,Applied Digital ELN01,North Dakota,Ellendale,46.01289180245313,-98.57286856312297,2018.0,180.0,,general
project-trinity,Project Trinity,North Dakota,Dry Fork Township.,48.27876400517509,-102.9098724678627,2026.0,100.0,,general
bitzero-nekoma,Bitzero Nekoma,North Dakota,Nekoma,48.58944709686995,-98.35668459224368,2018.0,300.0,,general
project-fighting-pike-building-5,Project Fighting Pike - Building 5,North Dakota,Williston,48.235489,-103.628349,2018.0,65.0,228000.0,general
project-fighting-pike-building-2,Project Fighting Pike - Building 2,North Dakota,Williston,48.231396,-103.628896,2018.0,65.0,287000.0,general
project-fighting-pike-building-3,Project Fighting Pike - Building 3,North Dakota,Williston,48.232186,-103.633628,2018.0,65.0,228000.0,general
project-fighting-pike-building-4,Project Fighting Pike - Building 4,North Dakota,Williston,48.23322,-103.631876,2018.0,65.0,228000.0,general
atlas-power-willinston,Atlas Power Willinston,North Dakota,Williston,48.1462269530528,-103.7743953186369,2018.0,700.0,,general
project-fighting-pike-building-1,Project Fighting Pike - Building 1,North Dakota,Williston,48.229723,-103.631527,2018.0,65.0,287000.0,general
project-fighting-pike-building-6,Project Fighting Pike - Building 6,North Dakota,Williston,48.229921,-103.637064,2018.0,65.0,228000.0,general
project-fighting-pike-building-7,Project Fighting Pike - Building 7,North Dakota,Williston,48.228079,-103.633995,2018.0,65.0,287000.0,general
project-fighting-pike,Project Fighting Pike,North Dakota,Williston,48.231163,-103.631409,2018.0,455.0,,general
applied-digital-polaris-forge-2,Applied Digital Polaris Forge 2,North Dakota,Harwood,46.98433668194235,-96.88442312469564,2018.0,280.0,,general
702-data-center,702 Data Center,North Dakota,Fargo,46.8684165,-96.8272752,2022.0,,7000.0,crypto
midco-fargo1,Midco Fargo,North Dakota,Fargo,46.8365002,-96.8658885,2018.0,1.75,7500.0,crypto
consolidated-fargo,Consolidated Fargo,North Dakota,Fargo,46.8314641,-96.8493182,2022.0,,1700.0,crypto
dcn-fargo-great-plains,DCN Fargo Great Plains,North Dakota,Fargo,46.8149813,-96.8444693,2022.0,,,crypto
applied-digital-jms,Applied Digital JMS,North Dakota,Jamestown,47.02660101932798,-98.68044492618182,2018.0,5.0,,general
core-scientific-grand-forks,Core Scientific Grand Forks,North Dakota,Grand Forks,47.90964296602304,-97.11151765887791,2021.0,100.0,,crypto
midco-grand-forks,Midco Grand Forks,North Dakota,Grand Forks,47.88888044733152,-97.07616115094062,2018.0,,,general
aurum-capital-ventures-bismarck,Aurum Capital Ventures - Bismarck,North Dakota,Bismarck,46.80679734451891,-100.7206401059407,2018.0,,,general
dcn-bismarck-coleman,DCN Bismarck Coleman,North Dakota,Bismarck,46.8517727,-100.7818499,2018.0,,,general
cordova-electric-data-center,Cordova Electric Data Center,Alaska,Cordova,60.5935199194642,-145.5792856864176,2024.0,0.15,,general
prudhoe-bay-data-center,Prudhoe Bay Data Center,Alaska,Prudhoe Bay,70.2269426635253,-148.4006144429898,2018.0,120.0,,general
greensparc-wrangell,Greensparc Wrangell,Alaska,Wrangell,56.39688301436531,-132.336778765115,2018.0,2.0,10000.0,general
fairbanks-dc1,Alasconnect Fairbanks Data Center,Alaska,Fairbanks,64.8516133,-147.7196396,2018.0,,,ai
anchorage-dc5,Alasconnect Anchorage Data Center,Alaska,Anchorage,61.1888889,-149.9122978,2018.0,,,general
gci-anchorage,GCI Anchorage,Alaska,Anchorage,61.15843432110262,-149.8904796210693,2018.0,,10000.0,general
talkeetna-alaska-teleport,Talkeetna Alaska Teleport,Alaska,Talkeetna,62.3324741,-150.032099,2018.0,0.55,5000.0,general
a5-peoria,Pearl Technology Peoria Data Center,Illinois,Peoria,40.696644,-89.583765,2014.0,,,general
whp-pekin-campus,WHP Pekin Campus,Illinois,Pekin,40.59714288305726,-89.58619483672703,2014.0,,,general
datapoint,DataPoint Data Center,Illinois,Rockford,42.2255003,-89.0209314,2014.0,,,general
725-wells,725 S. Wells,Illinois,Chicago,41.87258569999999,-87.6332523,2014.0,5.0,,general
